ID,単語,日本語
1,"be/am, is, are / was, were",～です/ある/いる
2,become / became,～になる
3,begin / began,始める/始まる
4,break / broke,壊れる/壊す
5,bring / brought,持ってくる
6,build / built,建てる
7,burn / burned,燃やす
8,buy / bought,買う
9,catch / caught,つかまえる
10,choose / chose,選ぶ
11,come / came,来る
12,cut / cut,切る
13,do/does / did,する
14,draw / drew,（絵を）描く/（線を）引く
15,drink / drank,飲む
16,drive / drove,運転する
17,eat / ate,食べる
18,fall / fell,落ちる/倒れる
19,feel / felt,感じる
20,find / found,見つける/発見する
21,forget / forgot,忘れる
22,get / got,得る/手に入れる
23,give / gave,与える
24,go / went,行く
25,grow / grew,成長する/育つ
26,have/has / had,持っている/ある
27,hear / heard,聞く
28,hold / held,保つ/握る/開催する
29,hurt / hurt,傷つける
30,keep / kept,保つ/～し続ける
31,know / knew,知っている
32,leave / left,出発する/置いていく
33,lose / lost,なくす/負ける
34,make / made,作る/～させる
35,mean / meant,意味する
36,meet / met,会う/集合する
37,pay / paid,支払う
38,put / put,置く
39,read / read,読む
40,ride / rode,乗る
41,rise / rose,上る
42,run / ran,走る
43,say / said,言う
44,see / saw,見る/会う
45,sell / sold,売る
46,send / sent,送る
47,set / set,準備する
48,show / showed,見せる/案内する
49,sing / sang,歌う
50,sit / sat,座る
51,spread / spread,広がる
52,sleep / slept,眠る/(名)睡眠
53,speak / spoke,話す
54,stand / stood,立つ
55,steal / stole,盗む
56,swim / swam,泳ぐ
57,take / took,とる/乗る
58,teach / taught,教える
59,tell / told,告げる/言う
60,think / thought,思う/考える
61,understand / understood,理解する
62,wake (up) / woke,目が覚める
63,wear / wore,着る
64,win / won,勝つ
65,write / wrote,書く
66,agree / agreed,賛成する
67,answer / answered,答える/電話に出る
68,apologize / apologized,謝る/おわびをする
69,appear / appeared,現れる
70,arrive at ～,～に到着する
71,ask / asked,尋ねる/頼む
72,attend / attended,出席する
73,believe / believed,信じる
74,borrow / borrowed,借りる
75,brush / brushed,みがく/ブラシをかける
76,call / called,呼ぶ/電話する
77,carry / carried,運ぶ
78,celebrate / celebrated,祝う
79,change / changed,変わる/変える/着替える
80,check / checked,点検する/調べる
81,cheer / cheered,応援する/元気づける
82,clean / cleaned,そうじする/(形)きれいな
83,climb / climbed,登る
84,close (動) / closed,閉める
85,close,(形)近い
86,collect / collected,集める
87,communicate / communicated,意思を伝える
88,compare / compared,比べる
89,connect / connected,つなぐ
90,continue / continued,続ける
91,cook / cooked,料理する
92,count / counted,数える
93,cover / covered,おおう
94,create / created,創造する/作り出す
95,cry / cried,泣く/叫ぶ
96,decide / decided,決める/決心する
97,decorate / decorated,飾る
98,develop / developed,発達させる
99,die / died,死ぬ
100,disagree / disagreed,反対する
101,disappear / disappeared,消滅する/消える
102,drop / dropped,落とす/落ちる
103,dry / dried,かわかす
104,earn / earned,（お金を）かせぐ
105,elect / elected,選ぶ
106,end / ended,終わる
107,enjoy / enjoyed,楽しむ
108,enter / entered,入る
109,exchange / exchanged,交換する
110,excuse / excused,許す
111,explain / explained,説明する
112,face / faced,直面する/(名)顔
113,finish / finished,終える
114,fix / fixed,（小さな物を）修理する
115,follow / followed,従う
116,gather / gathered,集める
117,guess / guessed,推測する
118,happen / happened,起こる
119,hope / hoped,望む
120,hurry (up),急ぐ
